Direccion,Precio,UF,m2_Construidos,m2_totales,Habitaciones,Banos,Estacionamientos,Publi
"Macul, Mario Silva Ossa 3923",266395950,7650.0,94,340,4,2,0,03/12/2022
"Maipú, Mataquito 2239",3490,0.1,56,128,5,1,3,03/12/2022
"Santiago, Campomar 4",870575000,25000.0,0,0,9,6,0,02/12/2022
"Estación Central, Blanco Garcés 50",100081302,2874.0,72,72,3,2,0,02/12/2022
"Estación Central, Avenida Las Parcelas",135809700,3900.0,59,243,3,1,2,02/12/2022
"Santiago, Loreley 127",500000000,14358.326,209,434,5,4,0,01/12/2022
"Peñalolén, Peñalolén, Región Metropolitana",150000000,4307.498,130,175,5,4,3,01/12/2022
"Maipú, Av. Portales 1672",85000000,2440.915,55,121,2,1,2,01/12/2022
"San Miguel, Álvarez de Toledo 900",470110500,13500.0,237,594,6,5,2,01/12/2022
"Colina, Condominio Ayres de Chicureo",250029140,7180.0,120,420,3,3,2,01/12/2022
"Estación Central, Estación Central, Región Metropolitana",198000000,5685.897,180,120,7,3,2,01/12/2022
"Pedro Aguirre Cerda, Pje. 4 3276",62000000,1780.432,65,70,3,1,0,01/12/2022
"Estación Central, Manantiales",150000000,4307.498,143,160,4,3,1,30/11/2022
"El Bosque, Pje. Uno 158",80092900,2300.0,85,100,3,1,1,30/11/2022
"San Bernardo, Pasaje Turin Poniente",147997750,4250.0,85,155,4,2,2,30/11/2022
"San Bernardo, Las Águilas 1034",121880500,3500.0,95,130,5,2,1,30/11/2022
"Estación Central, Titan 4688",100000000,2871.665,80,100,3,1,2,30/11/2022
"Ñuñoa, Exequiel Fernández 1290",522345000,15000.0,200,330,4,2,4,30/11/2022
"Peñalolén, Quebrada de Macul",247243300,7100.0,112,196,4,3,2,29/11/2022
"Buin, O'higgins",90000000,2584.499,84,84,4,1,0,29/11/2022
"Conchalí, Av. Pedro Fontova 5389",3700,0.106,103,256,3,1,1,29/11/2022
"La Florida, La Florida, Región Metropolitana",85000000,2440.915,65,85,2,1,1,29/11/2022
"Puente Alto, Pasaje Isla Navarino",115055192,3304.0,102,86,3,2,1,29/11/2022
"Maipú, Las Águilas 571",95000000,2728.082,90,100,2,2,1,29/11/2022
"Pudahuel, Calle el Coihue",278235770,7990.0,135,400,3,3,3,29/11/2022
"Maipú, Av. Bosque Alto 3129",138943770,3990.0,76,118,3,3,2,29/11/2022
"Maipú, German Garcés",130000000,3733.165,100,152,3,2,1,28/11/2022
"Maipú, German Garcés",130000000,3733.165,82,144,5,1,2,28/11/2022
"Lampa, Chicauma 1231",102727850,2950.0,66,176,3,2,2,28/11/2022
"Puente Alto, Gabriela / Mexico",100290240,2880.0,68,130,3,1,1,28/11/2022
"Buin, Pastor Ponciano Yañez",146256600,4200.0,89,212,3,2,2,28/11/2022
"Santiago, Martín Wagner 120",152000000,4364.931,118,215,6,1,4,28/11/2022
"Melipilla, Mallarauco",350000000,10050.828,280,10000,5,3,2,28/11/2022
"Santiago, Rembrandt 572",95000000,2728.082,55,80,2,1,1,28/11/2022
"Maipú, Batalla de Rancagua",80000000,2297.332,47,86,2,1,1,28/11/2022
"Santiago, Brisas del Maipo",89495110,2570.0,60,81,2,2,1,28/11/2022
"Pudahuel, Av. El rodeo pte.",266535242,7654.0,130,286,3,3,3,28/11/2022
"Pudahuel, Avenida Las Flores",305920055,8785.0,145,454,3,3,2,28/11/2022
"Maipú, Condominio Las Catalpas 2",186303050,5350.0,130,130,4,4,1,28/11/2022
"Pudahuel, Los Almendros",302960100,8700.0,165,400,5,3,2,28/11/2022
"Pudahuel, La Esperanza",233314100,6700.0,110,190,3,3,1,28/11/2022
"Pudahuel, Efeso",354846370,10190.0,140,550,4,3,2,28/11/2022
"Til til, Tiltil, Región Metropolitana",155000000,4451.081,250,1000,7,3,8,27/11/2022
"Colina, Condominio peumayen",365641500,10500.0,124,424,3,3,4,27/11/2022
"La Florida, La Florida, Región Metropolitana",522345000,15000.0,389,890,16,12,3,27/11/2022
"Puente Alto, Tocornal Ex Pedro Duarte",75000000,2153.749,87,87,3,1,1,27/11/2022
"Colina, Los Arándanos",149738900,4300.0,84,194,4,3,2,27/11/2022
"Lampa, A 3 minutos de Lo Echevers y 5 minutos del Centro de Lampa.",95000000,2728.082,318,753,4,2,8,26/11/2022
"Lampa, Av. los Halcones 799, Larapinta, Lampa",185000000,5312.581,128,264,5,3,6,26/11/2022
"Ñuñoa, Natalio Stein",222867200,6400.0,56,175,3,1,0,26/11/2022
"La Florida, José Miguel Carrera",322112750,9250.0,173,850,7,3,3,26/11/2022
"Providencia, Avenida Salvador",580000000,16655.659,176,256,4,2,1,26/11/2022
"Buin, Pje. Oscar Lopez Rios 10",73128300,2100.0,80,100,3,1,2,25/11/2022
"Puente Alto, Villa Duraznal",60000000,1722.999,0,0,3,1,1,25/11/2022
"Santiago, Santo Tomás",46000000,1320.966,0,0,3,1,0,25/11/2022
"Puente Alto, La Primavera",125000000,3589.582,0,0,3,2,2,25/11/2022
"Maipú, El granizo",122000000,3503.432,113,108,5,2,2,25/11/2022
"San Bernardo, El molino",104120770,2990.0,70,116,4,2,2,25/11/2022
"Puente Alto, Avenida México",125000000,3589.582,154,154,3,2,2,25/11/2022
"San Miguel, Bartolo Soto",255949050,7350.0,113,130,3,3,1,25/11/2022
"El Monte, Av. Los Libertadores 791",140000000,4020.331,61,239,3,1,2,25/11/2022
"Conchalí, Seis Poniente",137000000,3934.181,156,192,6,2,1,25/11/2022
"Independencia, C. Nueva 5 1435",145000000,4163.915,184,216,4,2,1,24/11/2022
"Buin, Luis Leiva Pacheco",128148640,3680.0,67,163,3,2,1,24/11/2022
"San Bernardo, Villa Chena",115000000,3302.415,84,208,4,2,2,24/11/2022
"San Bernardo, Lomas de Mirasur",141311734,4058.0,0,0,4,2,2,24/11/2022
"Colina, Pasaje Gonzalo Rojas",75000000,2153.749,103,73,3,1,1,24/11/2022
"Colina, María de La Quintana",57000000,1636.849,84,68,3,1,1,24/11/2022
"Estación Central, Avenida 5 de Abril",94000000,2699.365,72,131,2,1,0,24/11/2022
"Colina, Mejillones 713",49900000,1432.961,91,72,5,2,1,24/11/2022
"Colina, Eduardo Anguita",55000000,1579.416,59,67,2,2,1,24/11/2022
"Santiago, Pasaje Tres",79000000,2268.616,200,200,3,1,2,23/11/2022
"Maipú, Sexta Sinfonía",127000000,3647.015,127,160,4,2,1,23/11/2022
"Ñuñoa, Marchant Pereira & Hernán Cortés",385000000,11055.911,250,375,8,4,5,23/11/2022
"Ñuñoa, Zañartu 2740",176900000,5079.976,100,124,4,2,1,23/11/2022
"Quilicura, Neff 505",100000000,2871.665,100,140,3,2,3,23/11/2022
"Puente Alto, Av. México 1200",95000000,2728.082,54,101,3,2,2,23/11/2022
"Macul, Jorge González Bastías 4215",110000000,3158.832,128,128,2,1,1,22/11/2022
"La Pintana, La Orquesta",45000000,1292.249,65,60,3,1,1,22/11/2022
"Talagante, El oliveto",490000000,14071.16,380,5001,5,4,3,22/11/2022
"San Miguel, Cuarta Avenida 1750",180000000,5168.998,110,250,5,2,4,22/11/2022
"Padre Hurtado, San Antonio de Padua",68000000,1952.732,45,85,2,1,2,22/11/2022
"Buin, Francisco Garate Gracia",120000000,3445.998,72,120,3,2,2,22/11/2022
"Santiago, Ingeniero Antonio Baeza",195000000,5599.747,125,140,3,2,1,22/11/2022
"Puente Alto, El Azulejo 01577",47000000,1349.683,51,61,3,1,1,22/11/2022
"La Florida, Manuel Bulnes 2257",310000000,8902.162,400,1000,5,3,4,22/11/2022
"Lampa, El Sendero Oriente",136506160,3920.0,101,135,3,3,3,22/11/2022
"Colina, Condominio Canquén Norte",616367100,17700.0,270,580,4,3,4,22/11/2022
"Maipú, René Olivares Becerra",100000000,2871.665,70,90,3,2,1,21/11/2022
"Maipú, René Olivares Becerra",97000000,2785.515,79,106,3,3,2,21/11/2022
"La Florida, Casa en pasaje cerrado, belleza, iluminación y mucho más, Feijoa 9600",189402297,5439.0,92,179,3,2,2,21/11/2022
"La Reina, Jesus Simon bolivar",1340685500,38500.0,310,1280,3,2,3,21/11/2022
"Quilicura, Valle Lo Campino",249000000,7150.447,178,216,5,3,1,21/11/2022
"Maipú, Tunquelen 1266",180000000,5168.998,132,140,4,3,3,21/11/2022
"La Florida, Juan B Justo 740",74000000,2125.032,76,60,3,1,1,21/11/2022
"Buin, Calle el bosque",560000000,16081.326,550,2000,6,3,3,21/11/2022
"Santiago, Cueto con Catedral",376088400,10800.0,214,260,4,3,2,21/11/2022
"Pudahuel, La Estrella con Laguna Sur, Pudahuel, Chile",63000000,1809.149,70,90,3,1,0,21/11/2022
"La Granja, Vasco de Gama, metro La Granja",104190416,2992.0,84,126,3,2,2,21/11/2022
"Peñalolén, Los Robles, Jardin de La Foresta, Peñalolén, Chile",487522000,14000.0,132,424,4,2,2,21/11/2022
"Macul, Av. Marathon 2400, Sin Comisión, metro Rodrigo de Araya",262913650,7550.0,144,221,4,2,3,21/11/2022
"Peñalolén, El solar",361636855,10385.0,163,350,5,4,4,21/11/2022
"Providencia, Miguel Claro 1950",390714060,11220.0,229,248,4,2,2,21/11/2022
"Peñalolén, Alvaro casanova 4xxx",504933500,14500.0,200,516,4,4,2,20/11/2022
"Maipú, Nemesio Antunez",105000000,3015.249,79,106,3,3,2,18/11/2022
"Puente Alto, Puente Alto",131108595,3765.0,137,201,6,2,2,18/11/2022
"La Granja, Villa los Pensamientos",129000000,3704.448,61,163,3,2,2,18/11/2022
"Maipú, Filodendro Diez",98000000,2814.232,73,126,2,1,1,17/11/2022
"Maipú, Bandera Chilena",75000000,2153.749,50,69,4,2,1,16/11/2022
"Conchalí, Calle Cinco",95000,2.728,130,160,4,2,0,16/11/2022
"Maipú, Los Glaciares",68000000,1952.732,49,60,2,1,0,15/11/2022
"Quilicura, Valle Lo Campino",236796400,6800.0,100,350,3,2,3,15/11/2022
"Buin, Eduardo Cortés Medina Poniente",111955945,3215.0,62,116,3,2,0,15/11/2022
"La Reina, Simón Bolívar",277539310,7970.0,76,184,3,2,3,14/11/2022
"Puente Alto, Pedro Núñez Fernández",75000000,2153.749,56,80,2,1,2,14/11/2022
"Estación Central, Miguel de Cervantes",136854390,3930.0,77,171,3,1,1,14/11/2022
"Maipú, Pasaje Machitún",138000000,3962.898,84,121,3,3,2,14/11/2022
"La Pintana, Poeta Ramón del Valle",75000000,2153.749,90,80,3,2,1,14/11/2022
"Lampa, El taco",140000000,4020.331,86,241,3,2,2,14/11/2022
"La Florida, San José de la Estrella",68000000,1952.732,76,76,3,1,1,14/11/2022
"Puente Alto, Los Castaños",175000000,5025.414,132,187,4,2,1,11/11/2022
"Vitacura, Sta. Ana",388276450,11150.0,90,120,4,3,1,10/11/2022
"Maipú, Las Naciones",185000000,5312.581,136,153,5,3,2,10/11/2022
"Macul, Montevideo",125000000,3589.582,81,160,3,1,3,10/11/2022
"Buin, San Félix 129",72500000,2081.957,54,82,2,1,1,10/11/2022
"Buin, Eduardo Pérez Elizondo",65500000,1880.941,50,95,2,1,2,10/11/2022
"Quilicura, Lo marcoleta",115000000,3302.415,0,0,3,2,1,10/11/2022
"Santiago, Avenida Jose Arrieta",280000000,8040.663,106,303,4,3,2,09/11/2022
"Lampa, Los Halcones 1947",130000000,3733.165,65,194,3,2,2,09/11/2022
"Santiago, Pje. Sauce Amargo 577",87000000,2498.349,80,98,4,1,2,09/11/2022
"Quinta Normal, Salvador Gutiérrez & Jujuy",140000000,4020.331,69,200,4,1,2,09/11/2022
"La Reina, Cordillera",115000000,3302.415,70,135,4,1,1,09/11/2022
"Puente Alto, Reloj del Sol Sur 4102",87000000,2498.349,56,110,2,2,3,09/11/2022
"Maipú, Islas Monserrat 3925",146256600,4200.0,97,115,3,2,2,08/11/2022
"La Florida, José Miguel Carrera 1340 Poniente",150000000,4307.498,0,0,3,3,2,08/11/2022
"Puente Alto, Barrantes 1 Sur",120000000,3445.998,85,150,3,2,2,07/11/2022
"Puente Alto, Condominio Jardines de Las Vizcachas",160000000,4594.664,85,180,3,3,2,07/11/2022
"Puente Alto, Alcántara",140000000,4020.331,100,190,4,3,3,07/11/2022
"Colina, Portal Los Maitenes",484039700,13900.0,167,400,3,3,3,07/11/2022
"Estación Central, El boldo 2",131979170,3790.0,72,77,2,1,1,07/11/2022
"Santiago, Las Nalcas Ote. 173",172000000,4939.264,83,117,4,3,1,04/11/2022
"Maipú, Ernesto Pinto Lagarrigue 5256",145000000,4163.915,105,118,3,1,1,04/11/2022
"Maipú, Sector Blanco Encalada con Victoria- Maipu",139000000,3991.615,146,280,4,3,3,04/11/2022
"Santiago, Cam. A Rinconada 1771",104120770,2990.0,60,165,2,1,2,04/11/2022
"Maipú, Calle Esdras & El Samaritano",105000000,3015.249,77,112,3,2,1,03/11/2022
"Maipú, Pasaje Pichidegua",124000000,3560.865,90,110,3,2,2,03/11/2022
"Padre Hurtado, Condominio los veleros, padre hurtado",334300800,9600.0,137,357,4,4,2,03/11/2022
"Maipú, José Miguel Ramírez 3116",225000000,6461.247,147,270,4,2,3,03/11/2022
"Lo Barnechea, Camino de Los Castores",940046885,26995.0,350,1000,6,6,7,02/11/2022
"Conchalí, Panamericana Norte",130000000,3733.165,100,240,2,2,2,02/11/2022
"Quilicura, Valle Lo Campino",219384900,6300.0,125,160,3,3,1,02/11/2022
"Quilicura, Valle Lo Campino",196749950,5650.0,100,159,3,3,2,02/11/2022
"Paine, Las Acacias 112",127000000,3647.015,60,1164,3,1,0,02/11/2022
"Lampa, Los Nogales Sur 3273",261172500,7500.0,118,340,3,3,0,02/11/2022
"Providencia, El Belloto, Providencia",588508700,16900.0,126,437,4,2,3,02/11/2022
"La Pintana, Violeta Parra",75000000,2153.749,62,88,3,1,1,31/10/2022
"Estación Central, Agustín López 6048",139900000,4017.46,95,180,3,1,3,28/10/2022
"Puente Alto, El romero",80000000,2297.332,69,125,3,1,2,28/10/2022
"La Florida, ¡Mira esto!  ¡Es espectacular! Rojas Magallanes",313407000,9000.0,177,259,4,4,3,28/10/2022
"Puente Alto, Canal de la luz",174428407,5009.0,99,157,3,3,2,27/10/2022
"Puente Alto, Agua viva norte",130000000,3733.165,75,102,3,1,1,27/10/2022
"Puente Alto, Cabrero",140000000,4020.331,74,162,4,1,2,27/10/2022
"Buin, Maipú 490",372919507,10709.0,127,450,4,2,4,27/10/2022
"La Cisterna, Ramón Carvallo",372606100,10700.0,110,400,3,3,4,27/10/2022
"Vitacura, Géminis ii",539756500,15500.0,210,312,4,3,1,24/10/2022
"Estación Central, Aeropuerto con 5 de Abril",135000000,3876.748,70,226,3,2,2,24/10/2022
"San Bernardo, Condominio Barrió nuevo de nos",140000000,4020.331,92,148,3,3,1,24/10/2022
"Ñuñoa, Metro Monseñor Eyzaguirre - L3",485000000000,13927576.602,200,609,3,2,1,24/10/2022
"Quinta Normal, Tte Bergmann",199900000,5740.459,500,500,2,1,0,22/10/2022
"Quilicura, mordejai/africa",80000000,2297.332,57,76,3,1,2,22/10/2022
"La Florida, Kuyen 9512",257690200,7400.0,121,203,4,4,2,21/10/2022
"Santiago, Los moais",122000000,3503.432,91,138,3,1,1,20/10/2022
"Lo Barnechea, Camino de Las Ardillas",1002902400,28800.0,362,960,5,4,6,20/10/2022
"Puente Alto, Sygnus",45000000,1292.249,61,61,4,2,1,19/10/2022
"Pudahuel, El Poeta 7015",3480,0.1,65,126,2,1,1,19/10/2022
"Lampa, Los Halcones 799",195000000,5599.747,128,264,5,3,6,18/10/2022
"La Reina, Monseñor Edwards",424840600,12200.0,209,555,7,3,5,18/10/2022
"La Reina, Bramante",400464500,11500.0,140,400,5,4,3,18/10/2022
"Maipú, Las Achileas 1796",156703500,4500.0,96,127,3,3,2,17/10/2022
"Maipú, Americo vespucio 2281",215902600,6200.0,140,210,4,4,2,17/10/2022
"Lo Prado, Los Plátanos xxx6",180000000,5168.998,139,282,8,8,3,16/10/2022
"Lampa, Lago Rupanco",69000000,1981.449,80,100,4,1,2,16/10/2022
"Colina, Sta. Elena 278",346488850,9950.0,118,350,3,3,3,14/10/2022
"La Florida, Sta. Delia 7718",264654800,7600.0,152,200,5,3,3,14/10/2022
"Talagante, Pasaje Aurora Boreal",135000000,3876.748,114,122,4,3,2,14/10/2022
"Maipú, Los Canarios 649",113174750,3250.0,100,83,3,2,0,14/10/2022
"La Pintana, Luis Cruz Martínez, La Pintana, Chile",57000000,1636.849,48,120,3,1,0,13/10/2022
"San Bernardo, El prado",95000000,2728.082,160,160,3,2,2,13/10/2022
"Buin, Camilo Berrios Quintanilla",242019850,6950.0,112,240,3,3,2,13/10/2022
"Peñalolén, Los Mañíos - Villa Los Cerezos",110000000,3158.832,82,122,3,2,1,12/10/2022
"Pudahuel, Doña Isabel",270000000,7753.496,109,436,3,3,2,11/10/2022
"Lampa, Las Flores 1672",132327400,3800.0,70,208,3,2,2,11/10/2022
"Vitacura, Géminis ii 1756",487522000,14000.0,200,312,4,3,2,07/10/2022
"Puente Alto, Noruega/Eyzaguirre",290000000,8327.829,286,286,5,3,2,06/10/2022
"Puente Alto, Bombero Belarmino Meza",75000000,2153.749,49,79,2,1,2,04/10/2022
"Estación Central, Laguna Torca 6408",170632700,4900.0,130,105,6,3,1,03/10/2022
"La Florida, Lientur",940221000,27000.0,182,1600,4,4,5,03/10/2022
"La Reina, Carlos Silva Vildósola",423099450,12150.0,140,220,5,4,2,30/09/2022
"Melipilla, entre tacna con yungay melipilla",78000000,2239.899,43,198,3,1,2,27/09/2022
"Santiago, Mar Mediterráneo",278235770,7990.0,112,400,3,3,2,26/09/2022
"Estación Central, Gloria 472",128000000,3675.732,80,199,3,1,1,26/09/2022
"Puente Alto, Desierto de Atacama 2748",82000000,2354.766,50,55,2,1,1,26/09/2022
"Puente Alto, Nemesio Vicuña 2504",145000000,4163.915,129,208,4,3,3,22/09/2022
"Santiago, Independencia 381",203000000,5829.481,113,178,4,3,2,20/09/2022
"Maipú, Píndaro",92280950,2650.0,96,168,5,1,1,14/09/2022
"Puente Alto, Parque Ibérico 1594",139292000,4000.0,67,140,2,3,1,12/09/2022
"Puente Alto, La montura",268137100,7700.0,122,374,4,3,2,08/09/2022
"Puente Alto, Pasaje la Cañada Oriente",93000000,2670.649,49,80,2,2,1,31/08/2022
"Vitacura, Géminis ii",557168000,16000.0,140,310,3,2,2,30/08/2022
"Cerrillos, Huelen 7263",2620,0.075,75,330,4,3,1,29/08/2022
"Quilicura, Eduardo Maira",203714550,5850.0,145,247,3,2,4,29/08/2022
"Puente Alto, Avenida El Peral",77000000,2211.182,43,74,3,1,1,24/08/2022
"Maipú, Michimalongo 1691",461404750,13250.0,250,1400,4,3,7,23/08/2022
"Pudahuel, Av. El Rodeo Pte. 1950",258500000,7423.255,126,286,3,3,3,23/08/2022
"Recoleta, Pje coquimbo 3822",120000000,3445.998,180,240,4,2,3,23/08/2022
"Puente Alto, San maximo",164000000,4709.531,89,181,3,2,3,21/08/2022
"Buin, Myriam Regina Gallerani Benatti",250377370,7190.0,115,260,3,3,3,07/08/2022
"Santiago, Los Jardineros",275000000,7897.08,250,500,4,2,4,28/07/2022
"La Reina, José Zapiola 8774",675000000,19383.741,150,210,4,3,2,28/07/2022
"Santiago, Alvaro Casanova 355",470110500,13500.0,220,340,5,4,2,07/07/2022
"Santiago, Ñuble 49",170000000,4881.831,85,100,2,1,0,21/06/2022
"Puente Alto, Pasaje Quechua 02338",76000000,2182.466,90,110,3,2,3,21/06/2022
"Lo Barnechea, Camino del Yunque",727800700,20900.0,225,700,4,3,2,15/06/2022
"Peñalolén, El Olivillo 5956",280325150,8050.0,131,241,5,3,1,06/06/2022
"Quilicura, Cadaqués Norte",105000000,3015.249,115,170,4,3,2,04/05/2022
"Pudahuel, Vuelo de Codorniz Norte",243761000,7000.0,137,225,4,3,1,02/05/2022
"La Cisterna, Esmeralda & Avenida Fernandez Albano",360000000,10337.995,270,480,4,3,4,26/04/2022
"La Cisterna, brisas 000",160000000,4594.664,150,331,3,1,4,26/04/2022
"Ñuñoa, Valparaíso",623331700,17900.0,220,648,5,3,4,25/04/2022
"Pudahuel, Avenida Pedro de Aretxabala",261172500,7500.0,129,228,4,3,2,13/04/2022
"Quinta Normal, Brisas del Río",132000000,3790.598,102,205,4,1,2,29/12/2021
"La Cisterna, Fuenzalida Urrejola 845",155000000,4451.081,160,192,5,3,1,29/12/2021
"Colina, Estancia Liray, Colina",159837570,4590.0,165,165,3,2,1,03/12/2022
"Colina, Colina",70000000,2010.166,0,0,3,1,1,03/12/2022
"Colina, Avenida Fontt",160000000,4594.664,0,0,4,1,2,03/12/2022
"Lampa, Avenida La Hacienda",127103950,3650.0,68,221,3,2,1,03/12/2022
"Estación Central, Estación Central",196000000,5628.464,500,500,10,8,2,03/12/2022
"Providencia, Esquina Luis thayer Ojeda/.",826698020,23740.0,270,450,10,4,0,03/12/2022
"Maipú, Constantinopla Oriente",126059260,3620.0,84,118,3,3,3,03/12/2022
"Buin, Dirigente tuta aranguiz",149738900,4300.0,142,142,3,2,1,03/12/2022
"Colina, KM 41 por Autopista Los Libertadores salida Chacabuco",696111770,19990.0,800,5000,5,3,0,03/12/2022
"Puente Alto, El peñón ag-59831/nonato coo",175000000,5025.414,80,162,3,2,0,03/12/2022
"Las Condes, Huara huara con Latadia",455101787,13069.0,180,250,5,3,3,03/12/2022
"Colina, Chacabuco a 20 min. de Chicureo por Autopista Los Libertadores",452699000,13000.0,357,4000,6,3,0,03/12/2022
"Maipú, Tren a Melipilla",149738900,4300.0,84,128,3,2,2,03/12/2022
"La Florida, Rio Tinguiririca, La Florida",137000000,3934.181,135,98,4,2,0,03/12/2022
"San Miguel, Am 56145  av teresa vial - metro lo vial/av josé miguel carrera",540000000,15506.993,245,630,6,3,0,03/12/2022
"Maipú, Maipú, Región Metropolitana",79000000,2268.616,53,73,2,1,1,03/12/2022
"Lampa, Pasaje Sauce Amargo/Manzanilla",72000000,2067.599,48,145,2,1,0,03/12/2022
"San Bernardo, General carrera - metrotren cinco pinos  nu 56657/av portales",100000000,2871.665,49,82,3,1,0,03/12/2022
"Las Condes, Huara Huara 1965",470110500,13500.0,150,240,3,2,2,03/12/2022
"Ñuñoa, Ñuñoa, Región Metropolitana",182000000,5226.431,84,90,2,2,1,03/12/2022
"Providencia, Rancagua / Salvador",905049770,25990.0,460,771,8,4,4,03/12/2022
"Vitacura, Manuela Cañas 2299",487173770,13990.0,161,193,4,4,0,03/12/2022
"Las Condes, Las Condes, Región Metropolitana",2785840000,80000.0,650,2250,5,6,6,03/12/2022
"Puente Alto, Av. Gabriela oriente // av. Las nieves oriente",110000000,3158.832,87,110,3,1,2,03/12/2022
"Lampa, Laguna norte, valle grande",149738900,4300.0,84,133,3,3,2,03/12/2022
"La Granja, Raúl Silva Henríquez/Av. San José de La estrella",72000000,2067.599,67,101,3,1,0,03/12/2022
"Puente Alto, Vendo Casa En Pasaje Cerrado De 1 Piso",91062145,2615.0,69,108,4,1,0,03/12/2022
"Maipú, Yc 59807  el olimpo/av sur",177000000,5082.848,180,205,4,2,1,03/12/2022
"Ñuñoa, Vicuña mackenna nu - 60660/bustamante",120000000,3445.998,43,40,2,1,0,03/12/2022
"Estación Central, Av. Las rejas sur/av. Libertador bernardo o'higgins",157000000,4508.514,128,194,6,4,0,03/12/2022
"Lo Barnechea, Colegio Los Alerces",630296300,18100.0,180,530,4,4,3,03/12/2022
"Puente Alto, Intercomunal San Francisco",160011685,4595.0,134,205,4,2,1,03/12/2022
"Maipú, Vendo Casa Mujeres Chilenas Maipu, Hospital El Carmen de Maipú",75000000,2153.749,48,120,3,2,1,03/12/2022
"Las Condes, Martin de Zamora / El Director",762623700,21900.0,290,640,6,3,0,03/12/2022
"Las Condes, Camino Las Rosas / Camino La Posada / Universidad Andrés Bello",637260900,18300.0,192,300,4,5,2,03/12/2022
"Puente Alto, Avenida San Francisco 2244",85000000,2440.915,65,75,3,2,1,03/12/2022
"Peñalolén, Arboretum",626814000,18000.0,217,920,3,3,3,03/12/2022
"Pudahuel, San Pablo    PC 60467/Jose Manuel",130000000,3733.165,89,101,4,2,0,03/12/2022
"Macul, Poeta Vicente Huidobro, Macul",350911371,10077.0,321,249,7,7,2,03/12/2022
"Las Condes, Dos casas sector h. Magallanes, colon, cuarto centenario",755659100,21700.0,244,443,6,4,0,03/12/2022
"Las Condes, San carlos de apoquindo //el convento",598920777,17199.0,180,300,5,3,0,03/12/2022
"Lampa, Rio Loa 300",201973400,5800.0,129,200,4,3,0,03/12/2022
"Ñuñoa, Ñuñoa, Región Metropolitana",196401720,5640.0,64,210,3,1,2,03/12/2022
"Puente Alto, Brisas del Maipo",135000000,3876.748,72,120,3,2,0,03/12/2022
"Las Condes, Las Condes C/ Tabancura, Las Condes, -, Las Condes",15000000,430.75,100,85,3,2,0,03/12/2022
"Las Condes, Hospital fach -  maria    estuardo/chesterton    -  oxfort",400464500,11500.0,110,245,3,3,0,03/12/2022
"Maipú, San Alberto Hurtado con Rinconada",175000000,5025.414,100,350,4,2,2,03/12/2022
"Maipú, Julio Sosa 1521",80000000,2297.332,90,98,4,1,1,03/12/2022
"Puente Alto, Bahia catalina nu-57753/av. Las serena",75000000,2153.749,88,72,4,1,0,03/12/2022
"Buin, camino la obra & ruta 5 sur",313407000,9000.0,200,1440,5,2,0,03/12/2022
"Las Condes, Felix de Amesti / La Capitanía",933256400,26800.0,456,666,4,4,2,03/12/2022
"Puente Alto, Puente Alto, Región Metropolitana",56000000,1608.133,56,90,2,1,1,03/12/2022
"Lo Barnechea, Lo Barnechea, Región Metropolitana",504933500,14500.0,140,280,4,4,2,03/12/2022
"Las Condes, Málaga/Vaticano",478816250,13750.0,144,190,3,3,0,03/12/2022
"Huechuraba, Increible casa de 3 pisos; dentro de condominio",226349500,6500.0,114,142,3,3,0,03/12/2022
"San Joaquín, Ganges // Varas Mena",125000000,3589.582,180,200,4,2,1,03/12/2022
"El Monte, Cam. A melipilla - el monte  ag-56797/condominio mediterraneo",194522000,5586.021,150,480,3,3,0,03/12/2022
"Talagante, Paula Jaraquemada/Monseñor Larrain",145000000,4163.915,250,240,8,3,0,03/12/2022
"San Joaquín, Vicuña Mackenna/Av. Punta Arenas",200000000,5743.331,170,358,6,2,0,03/12/2022
"La Reina, Tobalaba/Echenique",450957850,12950.0,180,360,3,3,0,03/12/2022
"Puente Alto, Cipres de las Guaitecas",95763250,2750.0,80,120,3,1,1,03/12/2022
"Puente Alto, Pasaje San Hugo con Pasaje Degas",203018090,5830.0,170,198,5,3,3,03/12/2022
"Melipilla, Ruta g60",288682670,8290.0,470,5600,8,5,15,03/12/2022
"Talagante, Villa Ojos del Salado",91890000,2638.773,81,100,2,1,0,03/12/2022
"Padre Hurtado, Padre Hurtado, Región Metropolitana",125000000,3589.582,68,114,3,2,1,03/12/2022
"Recoleta, ¨Bombero Nuñez 1385",132327400,3800.0,70,70,1,2,1,03/12/2022
"Puente Alto, Laconia Oriente 1653",196749950,5650.0,140,205,5,3,3,03/12/2022
"Puente Alto, Pasaje Asís 1505",138000000,3962.898,111,136,3,2,1,03/12/2022
"Peñaflor, Bilbao 511 Peñaflor",84990000,2440.628,89,136,2,2,2,03/12/2022
"Peñaflor, Miraflores 1110",133023860,3820.0,90,120,3,3,2,03/12/2022
"La Florida, Calle Aconcagua 8044",75000000,2153.749,97,144,4,3,0,03/12/2022
"Quilicura, Piedra Roja",128845100,3700.0,72,72,3,3,0,03/12/2022
"La Florida, Camino las Cumbres / La Florida",320371600,9200.0,100,300,3,3,0,03/12/2022
"Lampa, Pasaje las petunias oriente2695, Lampa",97504400,2800.0,55,190,3,1,0,03/12/2022
"La Florida, Corindon 1512, La florida",100116125,2875.0,95,131,4,2,3,03/12/2022
